ID,Week,Section,Title,Size,Depends,Description / Acceptance,Completion,Blockers
CAI-001,Week 1,RAG core,Confirm FarmCore repo + Compose stack boots,M,—,✅ `docker-compose.yml` + `farmcore/`,Done,
CAI-002,Week 1,RAG core,"Scaffold Django apps (`accounts`, `farms`, `documents`, `assistant`, `scheduling`)",M,CAI-001,✅,Done,
CAI-003,Week 1,RAG core,Agree `document_chunks` schema on paper,M,CAI-002,✅ `shared/schemas/document_chunks.md` + model,Done,
CAI-004,Week 1,RAG core,Implement `RetrievalScope` dataclass + validation,M,CAI-003,✅ `assistant/scope.py`,Done,
CAI-005,Week 1,RAG core,Declare port interfaces + no-op adapters,M,CAI-003,✅ `assistant/ports/`,Done,
CAI-006,Week 1,RAG core,Scaffold four registries + version constants,S,CAI-005,✅ `assistant/registries/`,Done,
CAI-007,Week 1,RAG core,Define `chunks-v1` schema + standalone validator,M,CAI-003,✅ `shared/schemas/chunks-v1.schema.json`,Done,
CAI-008,Week 1,RAG core,Audit event schema + `VersionTuple` + migration,M,CAI-002,✅ `assistant/models.py` + `versions.py`,Done,
CAI-009,Week 1,RAG core,OpenAPI design freeze with UI team,S,—,✅ `docs/OPENAPI_FREEZE.md` (UI sign-off pending),Done (partial),UI team sign-off on OPENAPI_FREEZE.md pending
CAI-010,Week 1,RAG core,Stub `POST /api/assistant/messages` E2E,L,"CAI-004, CAI-008, CAI-009",✅ `POST /api/assistant/messages`,Done,
CAI-011,Week 1,RAG core,CI: scope-integrity + cross-farm leak test skeletons,M,CAI-010,✅ `tests/farmcore/` (14 tests),Done,
CAI-012,Week 1,RAG core,Pin extraction tooling in `requirements.txt`,S,—,✅ `pymupdf` pinned in `ingest/requirements.txt`.,Done,
CAI-013,Week 1,RAG core,**Done (pre-sprint)** Tier A PDF text extraction,—,CAI-012,"✅ 605 extracted, 34 empty, 0 failed → `data/text/source/`, `tier_a_pdf_text.jsonl`.",Done,
CAI-014,Week 1,RAG core,Tier A manifest filter (`TIER_EXCLUDED`),S,CAI-013,✅ `ingest/scraper/corpus_filter.py` + `filter-corpus` CLI → `rejected.jsonl` (197 non–Tier A).,Done,
CAI-015,Week 1,RAG core,Pre-chunk filters: empty + untitled,M,CAI-014,"✅ `EMPTY_EXTRACTION` (<50 tok), `LIKELY_NON_TEXT_ASSET` (untitled + <100 tok).",Done,
CAI-016,Week 1,RAG core,Near-duplicate detection + pointer,M,CAI-015,✅ Similarity ≥0.9 → reject with `kept_doc_id` (4 pairs found).,Done,
CAI-017,Week 1,RAG core,Boilerplate stripper,M,CAI-015,✅ Repeated short lines + nav blocklist → `data/text/clean/`.,Done,
CAI-018,Week 1,RAG core,Manual review: 34 empty extractions,M,CAI-013,✅ All 34 `ocr_recoverable` — `empty_extractions_review.md` + `.jsonl` + OCR probe,Done,
CAI-019,Week 1,RAG core,Manual review: 30-doc near-dup sample,S,CAI-016,✅ 4/4 pairs confirmed — `near_duplicate_review.md`,Done,
CAI-020,Week 1,RAG core,Extraction quality report,M,CAI-015–017,✅ `data/manifests/extraction_quality_report.json` + `.md`.,Done,
CAI-021,Week 1,RAG core,CI assertion: 605/34 extraction split,S,"CAI-013, CAI-020",✅ `ingest/tests/test_extraction_baseline.py`.,Done,
CAI-022,Week 2,RAG core,Structure-aware chunker (headings → paragraphs),L,"CAI-017, CAI-007","300–500 tok, ~15% overlap within section; never split table mid-row; never cross heading.",Not started,OCR fallback not yet wired — 34 scans still empty in text/source (OCR probe proved recoverable)
CAI-023,Week 2,RAG core,Parent-child chunk hierarchy,M,CAI-022,Children embedded/matched; parents for generation; every child has resolvable `parent_id`.,Not started,
CAI-024,Week 2,RAG core,Table chunks with captions,M,CAI-022,Separate chunks; one-sentence caption prepended; `parent_id` link.,Not started,
CAI-025,Week 2,RAG core,Chunk metadata completeness,M,CAI-022,"`content_hash`, `heading_path`, `section_path`, `source_url`, `tier` on every chunk.",Not started,
CAI-026,Week 2,RAG core,Snapshot builder CLI,L,CAI-023–025,"Outputs `manifest.json`, `chunks.jsonl`, `parents.jsonl`, `rejected.jsonl`, `checksums.txt`; `snapshot_id = gov-a-<YYYYMMDD>-<hash12>`.",Not started,
CAI-027,Week 2,RAG core,Snapshot validation gates,M,CAI-026,Hard-fail: no chunk >500 tok; non-null `source_url` + `tier`; all `parent_id` resolve.,Not started,
CAI-028,Week 2,RAG core,Publish first Tier A snapshot,M,CAI-027,From 605 clean docs; idempotent rebuild → identical `snapshot_id`.,Not started,Depends on OCR re-extract for full ~635-doc corpus (optional)
CAI-029,Week 2,RAG core,Sample review: 20 random chunks,S,CAI-028,"Manual read confirms self-contained, correctly attributed chunks.",Not started,
CAI-030,Week 2,RAG core,Select + pin embedding model,M,CAI-028,Model chosen; dimension documented; cost/latency estimate for full corpus.,Not started,Embedding model choice not finalized
CAI-031,Week 2,RAG core,Migrate `embedding vector(dim)` on `document_chunks`,M,"CAI-030, CAI-003","Migration applied; gov rows `farm_id = NULL`, `index_key = 'gov_tier_a'`.",Not started,
CAI-032,Week 2,RAG core,Snapshot import management command,L,"CAI-028, CAI-031","Checksum verify, schema validate, transactional insert, embed jobs enqueued, activate only when 100% embedded.",Not started,
CAI-033,Week 2,RAG core,`corpus_snapshots` table + atomic activation,M,CAI-032,Exactly one active row; rollback = pointer flip.,Not started,
CAI-034,Week 2,RAG core,HNSW partial index (gov dense),M,CAI-031,Partial index for `index_key = 'gov_tier_a'`; query plan checked.,Not started,
CAI-035,Week 2,RAG core,Dense retrieval path via `RetrievalScope`,L,"CAI-004, CAI-034",SQL scope predicate; top-k + parent expansion; no post-hoc Python farm filter.,Not started,
CAI-036,Week 2,RAG core,Wire generation to retrieved context,L,"CAI-035, CAI-005",`POST /api/assistant/messages` returns real answer for gov-only questions (markers optional this week).,Not started,
CAI-037,Week 2,RAG core,Idempotent re-import test,S,CAI-032,"Same snapshot twice → no duplicate rows, no partial state.",Not started,
CAI-038,Week 2,RAG core,Cross-farm leak test with gov rows,M,CAI-035,Tenant query cannot return gov rows mis-scoped; gov query cannot leak farm data.,Not started,
